timestamp,voltage_a,voltage_b,voltage_c,current_a,current_b,current_c,power,load,temperature
2026-09-16 17:00:00,10.0379,9.9845,9.9554,59.077,59.271,62.044,242.6,261.44,8.03
2026-09-16 17:15:00,9.9668,9.9956,9.976,60.32,57.538,61.042,242.14,256.61,10.12
2026-09-16 17:30:00,10.0083,9.9763,9.9934,59.351,57.031,62.453,238.52,261.05,12.6
2026-09-16 17:45:00,10.0437,10.0413,10.0351,59.715,56.954,61.017,241.34,259.52,14.53
2026-09-16 18:00:00,10.0228,10.0307,10.0041,58.354,57.592,60.877,241.39,259.27,16.63
2026-09-16 18:15:00,10.066,10.0241,9.9061,60.301,56.72,61.553,238.18,263.21,18.08
2026-09-16 18:30:00,10.0437,10.0407,10.0106,59.348,58.882,60.567,239.32,258.67,20.09
2026-09-16 18:45:00,9.9574,9.9544,10.0261,59.755,57.548,60.593,240.01,264.51,21.26
2026-09-16 19:00:00,10.006,10.0397,9.9768,58.659,58.516,62.015,250.31,259.84,22.8
2026-09-16 19:15:00,10.0639,9.9942,9.9571,59.985,56.654,60.477,237.09,258.6,24.54
2026-09-16 19:30:00,10.0152,10.0529,10.0008,59.755,57.913,60.036,243.34,260.34,25.94
2026-09-16 19:45:00,9.9995,9.9778,9.9985,60.443,59.379,59.48,242.99,264.31,27.41
2026-09-16 20:00:00,9.9903,10.0377,10.0618,61.053,59.107,61.977,246.86,262.34,28.04
2026-09-16 20:15:00,9.9947,10.0809,10.0705,59.995,59.52,61.861,242.44,260.38,29.25
2026-09-16 20:30:00,10.0106,9.9846,10.0331,60.13,57.85,62.392,244.37,259.39,30.69
2026-09-16 20:45:00,9.9592,10.0099,9.9332,59.364,57.996,62.049,247.6,258.68,31.31
2026-09-16 21:00:00,10.0318,10.0452,10.0216,60.484,57.807,63.071,245.82,265.66,33.24
2026-09-16 21:15:00,9.9452,9.9418,10.0117,61.076,60.109,62.107,253.55,266.41,33.09
2026-09-16 21:30:00,10.0165,9.8864,9.9942,61.808,58.332,64.739,253.58,263.78,34.71
2026-09-16 21:45:00,10.0411,10.0077,9.9943,62.316,60.864,63.903,252.19,267.01,34.95
2026-09-16 22:00:00,9.9958,9.972,9.976,62.077,61.724,64.336,249.94,272.4,35.42
2026-09-16 22:15:00,10.0203,9.9947,9.945,61.264,61.867,64.178,248.11,270.84,36.37
